                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1064,                 98.979,                0.79977,                      0,                      0,                      0,                      0,                  2.455,                 101.84,                 2.0798,                0.00012,                0.00012,                0.00012
                      1,                 1.1122,                     89,                0.94776,                      0,                      0,                      0,                      0,                 2.4527,                 101.57,                 2.0784,             0.00023426,             0.00023426,             0.00023426
                      2,                 1.0757,                 68.849,                 1.1916,                      0,                      0,                      0,                      0,                  2.446,                 100.97,                 2.0749,              0.0003208,              0.0003208,              0.0003208
                      3,                0.87641,                 71.794,                 0.6216,                      0,                      0,                      0,                      0,                 2.4386,                 99.062,                 2.0712,             0.00037962,             0.00037962,             0.00037962
                      4,                 3.3639,                 59.756,                 2.2798,                      0,                      0,                      0,                      0,                  2.428,                 92.854,                  2.065,             0.00041072,             0.00041072,             0.00041072
                      5,                 1.4293,                  60.33,                 1.1879,                      0,                      0,                      0,                      0,                 2.4129,                 83.818,                 2.0569,              0.0004141,              0.0004141,              0.0004141
                      6,                 2.0935,                 59.773,                 1.2969,                      0,                      0,                      0,                      0,                 2.3713,                 69.693,                 2.0355,             0.00038976,             0.00038976,             0.00038976
                      7,                 1.6488,                 58.504,                 1.2547,                      0,                      0,                      0,                      0,                 2.3604,                 66.057,                 2.0297,              0.0003377,              0.0003377,              0.0003377
                      8,                 1.0474,                 51.203,                 1.4137,                      0,                      0,                      0,                      0,                 2.3472,                 64.141,                 2.0219,             0.00025792,             0.00025792,             0.00025792
                      9,                 2.2629,                 43.726,                 1.7041,                      0,                      0,                      0,                      0,                 2.3494,                 61.316,                 2.0215,             0.00015042,             0.00015042,             0.00015042
