                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6292,                 4.3603,                 4.1825,                0.00145,                0.12151,                0.00109,                0.00038,                  3.656,                  4.427,                 4.0927,             0.00054921,             0.00054921,             0.00054921
                      1,                  3.255,                  4.102,                 3.7428,                0.00477,                0.10947,                 0.0038,                0.00145,                 2.9829,                 4.3907,                 3.5863,             0.00099549,             0.00099549,             0.00099549
                      2,                 2.9301,                 3.9143,                 3.3392,                0.04618,                0.02978,                0.00879,                0.00255,                 2.8394,                  4.492,                 3.3266,              0.0013318,              0.0013318,              0.0013318
                      3,                 2.7439,                 3.7653,                 3.0532,                0.08556,                0.06824,                0.02179,                 0.0087,                 2.6509,                 4.1537,                 2.9421,              0.0011719,              0.0011719,              0.0011719
                      4,                 2.5465,                  3.682,                 2.8823,                0.06478,                0.03079,                0.01656,                0.00703,                 2.5987,                 3.8767,                 2.8799,              0.0011719,              0.0011719,              0.0011719
                      5,                 2.3819,                 3.5219,                  2.668,                0.10183,                0.08898,                0.03755,                0.01704,                 2.3145,                 3.5836,                 2.5513,              0.0010069,              0.0010069,              0.0010069
                      6,                 2.2984,                 3.3845,                 2.5774,                0.29331,                0.02973,                0.04422,                0.02354,                 2.1737,                 3.4725,                 2.4394,             0.00084184,             0.00084184,             0.00084184
                      7,                 2.1905,                 3.2358,                 2.4708,                0.13998,                0.10536,                0.05795,                0.03053,                  2.073,                 3.2516,                 2.3468,              0.0006768,              0.0006768,              0.0006768
                      8,                 2.0978,                 3.1425,                 2.3872,                0.18966,                0.12431,                0.07748,                0.04451,                 2.0421,                 3.1145,                 2.3111,             0.00051177,             0.00051177,             0.00051177
                      9,                  2.077,                  3.094,                 2.3626,                0.20125,                0.15762,                0.08861,                0.05099,                 1.9965,                 3.0695,                 2.2584,             0.00034674,             0.00034674,             0.00034674
