                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2121,                 1.6773,                 1.4468,                0.43108,                0.35233,                0.32474,                0.20321,                 1.4018,                 1.9936,                 1.5512,             0.00054921,             0.00054921,             0.00054921
                      1,                 1.1877,                 1.6611,                 1.4674,                0.38258,                0.30675,                0.25908,                0.16173,                 1.4802,                 2.1914,                  1.615,             0.00099549,             0.00099549,             0.00099549
                      2,                  1.263,                 1.7791,                 1.4887,                0.34951,                0.32213,                0.25889,                0.15524,                 1.4999,                  2.203,                 1.6054,              0.0013318,              0.0013318,              0.0013318
                      3,                 1.3472,                 1.9097,                  1.534,                 0.4111,                0.30655,                0.29293,                0.18753,                 1.4623,                 2.0917,                 1.5895,              0.0011719,              0.0011719,              0.0011719
                      4,                 1.3216,                 1.8861,                 1.5326,                0.38234,                0.32756,                0.28431,                0.16499,                 1.4521,                 2.1006,                 1.5683,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.2906,                 1.7697,                 1.4902,                0.39617,                0.33211,                0.29744,                 0.1939,                 1.3964,                  2.039,                 1.5295,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.2786,                  1.791,                 1.4961,                0.37586,                0.35652,                0.30719,                0.19104,                 1.3924,                 2.0236,                 1.5185,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.2733,                 1.7368,                 1.4937,                0.39429,                0.36071,                0.33072,                0.20906,                 1.3798,                 1.9711,                 1.5303,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.2265,                 1.6698,                 1.4596,                0.39413,                0.37225,                0.31579,                0.19845,                 1.3843,                 1.9169,                 1.5136,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.2421,                 1.6916,                 1.4728,                0.41685,                0.35522,                0.33138,                0.21607,                 1.3681,                 1.8763,                  1.509,             0.00034674,             0.00034674,             0.00034674
