                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1811,                 1.5923,                 1.4208,                0.39292,                0.34813,                0.31648,                0.20432,                 1.3828,                 1.9684,                 1.5397,             0.00054921,             0.00054921,             0.00054921
                      1,                 1.1441,                 1.5503,                 1.4258,                0.41457,                0.32863,                0.28783,                0.18097,                 1.4633,                  2.162,                 1.6044,             0.00099549,             0.00099549,             0.00099549
                      2,                 1.2054,                 1.6306,                 1.4407,                0.37277,                0.30994,                 0.2557,                0.15676,                 1.4963,                 2.2035,                 1.6093,              0.0013318,              0.0013318,              0.0013318
                      3,                 1.2747,                 1.7537,                 1.4721,                0.42399,                0.31657,                0.29545,                0.18816,                 1.4375,                 2.1132,                 1.5743,              0.0011719,              0.0011719,              0.0011719
                      4,                 1.2508,                 1.7277,                 1.4738,                0.38931,                 0.3427,                0.29935,                0.17585,                 1.4234,                 2.0698,                 1.5579,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.2388,                 1.6423,                 1.4502,                0.33922,                0.37065,                0.28766,                0.18643,                 1.3902,                 2.0801,                 1.5209,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.2162,                 1.6817,                 1.4495,                0.35973,                0.35594,                0.30191,                0.19014,                 1.4064,                 2.0816,                 1.5215,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.2317,                 1.6396,                 1.4546,                0.39644,                0.35314,                0.32411,                0.20414,                 1.3913,                 1.9912,                 1.5332,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.1811,                 1.5794,                 1.4231,                0.37183,                0.38245,                  0.305,                0.19079,                 1.3782,                 1.9802,                 1.5121,             0.00051177,             0.00051177,             0.00051177
                      9,                  1.214,                  1.617,                 1.4478,                0.39697,                0.37247,                0.33589,                 0.2175,                 1.3645,                 1.8546,                 1.4982,             0.00034674,             0.00034674,             0.00034674
